# Title: Install Community Members,,,,,,,,,,,,,,,,,,,,,
# Description: This option configures the Member profiles and groups for the Reference site,,,,,,,,,,,,,,,,,,,,,
# Configuring the UGC contribution limits on publish,,,,,,,,,,,,,,,,,,,,,
SlingPost,/system/console/configMgr/com.adobe.cq.social.commons.ugclimitsconfig.impl.CommunityUserUGCLimitsConfigImpl,apply,TRUE,action,ajaxConfigManager,$location,,enable,TRUE,enable,FALSE,UGCLimit,2,ugcLimitDuration,2,domains,,toList,aaron.mcdonald@mailinator.com,propertylist,"enable,UGCLimit,ugcLimitDuration,domains,toList"
# The following lines are creating new groups,,,,,,,,,,,,,,,,,,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-members,./profile/givenName,Reference Community Members,aboutMe,Members for AEM Communities Reference demo site,createGroup,1,intermediatePath,/home/groups/community/reference,,,,,,,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-privileged-members,./profile/givenName,Reference Community Privileged Members,aboutMe,Privileged Members for AEM Communities Reference Demo Site,createGroup,1,intermediatePath,/home/groups/community/reference,,,,,,,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-managers,./profile/givenName,Reference Community Managers,aboutMe,Managers for AEM Communities Reference Demo Site,createGroup,1,intermediatePath,/home/groups/community/reference,,,,,,,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-moderators,./profile/givenName,Reference Community Moderators,aboutMe,Moderators for AEM Communities Reference Demo Site,createGroup,1,intermediatePath,/home/groups/community/reference,,,,,,,,,,
# The following lines are creating new users,,,,,,,,,,,,,,,,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,aaron.mcdonald@mailinator.com,password,password,use_email,on,fname,Aaron,lname,McDonald,gender,male,aboutMe,I'm a Community Moderator for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,andrew.schaeffer@trashymail.com,password,password,use_email,on,fname,Andrew,lname,Schaeffer,gender,male,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,ashley.thompson@spambob.com,password,password,use_email,on,fname,Ashley,lname,Thompson,gender,female,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,boyd.larsen@dodgit.com,password,password,use_email,on,fname,Boyd,lname,Larsen,gender,male,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,donna.billups@pookmail.com,password,password,use_email,on,fname,Donna,lname,Billups,gender,female,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,emily.andrews@mailinator.com,password,password,use_email,on,fname,Emily,lname,Andrews,gender,female,aboutMe,I'm a Privileged Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,felicia.carter@trashymail.com,password,password,use_email,on,fname,Felicia,lname,Carter,gender,female,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,james.devore@spambob.com,password,password,use_email,on,fname,James,lname,Devore,gender,male,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,jason.werner@dodgit.com,password,password,use_email,on,fname,Jason,lname,Werner,gender,male,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,josh.bradley@pookmail.com,password,password,use_email,on,fname,Josh,lname,Bradley,gender,male,aboutMe,I'm a Community Manager for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,rebekah.larsen@trashymail.com,password,password,use_email,on,fname,Rebekah,lname,Larsen,gender,female,aboutMe,I'm a Community Administrator for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,ryan.palmer@spambob.com,password,password,use_email,on,fname,Ryan,lname,Palmer,gender,male,aboutMe,I'm a Community Member for Reference Communities,,,,,,
Members,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,weston.mccall@dodgit.com,password,password,use_email,on,fname,Weston,lname,McCall,gender,male,aboutMe,I'm a Community Member for Reference Communities,,,,,,
#The following lines are disabling contribution limits for these signed-up users,,,,,,,,,,,,,,,,,,,,,
Users,aaron.mcdonald@mailinator.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,andrew.schaeffer@trashymail.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,ashley.thompson@spambob.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,boyd.larsen@dodgit.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,donna.billups@pookmail.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,emily.andrews@mailinator.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,felicia.carter@trashymail.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,james.devore@spambob.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,jason.werner@dodgit.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,josh.bradley@pookmail.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,rebekah.larsen@trashymail.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,ryan.palmer@spambob.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Users,weston.mccall@dodgit.com,Preferences,../limitUserUGC@Boolean,FALSE,,,,,,,,,,,,,,,,,
Avatar,/content/sites/communities/en/profile/jcr:content/content/primary/userprofile.social.json,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,not used,not used,avatar_aaron.jpg,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,0,not used,not used,avatar_andrew.jpg,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,0,not used,not used,avatar_ashley.jpg,,,,,,,,,,,,,,,,,
boyd.larsen@dodgit.com,0,not used,not used,avatar_boyd.jpg,,,,,,,,,,,,,,,,,
donna.billups@pookmail.com,0,not used,not used,avatar_donna.jpg,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,not used,not used,avatar_emily.jpg,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,0,not used,not used,avatar_felicia.jpg,,,,,,,,,,,,,,,,,
james.devore@spambob.com,0,not used,not used,avatar_james.jpg,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,0,not used,not used,avatar_jason.jpg,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,0,not used,not used,avatar_josh.jpg,,,,,,,,,,,,,,,,,
rebekah.larsen@trashymail.com,0,not used,not used,avatar_rebekah.jpg,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,0,not used,not used,avatar_ryan.jpg,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,not used,not used,avatar_weston.jpg,,,,,,,,,,,,,,,,,
# The following line is adding the registered users to the Group previously created so that assignments can be group based,,,,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,aaron.mcdonald@mailinator.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-moderators,addMembers,aaron.mcdonald@mailinator.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,andrew.schaeffer@trashymail.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,ashley.thompson@spambob.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,boyd.larsen@dodgit.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,donna.billups@pookmail.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-privileged-members,addMembers,emily.andrews@mailinator.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,emily.andrews@mailinator.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,felicia.carter@trashymail.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,james.devore@spambob.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,jason.werner@dodgit.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-managers,addMembers,josh.bradley@pookmail.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,josh.bradley@pookmail.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,rebekah.larsen@trashymail.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,ryan.palmer@spambob.com,,,,,,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,weston.mccall@dodgit.com,,,,,,,,,,,,,,,,,,
SiteMembers,/content/sites/communities/en/configuration.json,addMembers,reference-members,,,,,,,,,,,,,,,,,,
